Kotzwinkle, William;The Fan Man;"[""Eccentrics and eccentricities"",""Fiction"",""Fiction in English"",""Hippies"",""Lower East Side (New York, N.Y.)"",""Neurotics""]";144;/works/OL2180708W;OL9301053M
Kotzwinkle, William;The Midnight Examiner;"[""Editors"",""Fiction"",""Friendship"",""Organized crime"",""Fiction, thrillers, general""]";227;/works/OL2180697W;OL2059157M
Krasznahorkai, László;The Melancholy of Resistance;"[""Husband and wife"",""City and town life"",""Fiction"",""Continental european fiction (fictional works by one author)"",""Hungary, fiction"",""Fiction, general""]";288;/works/OL17482419W;OL18233408M
Kraus, Karl;The Last Days of Humanity;;;;
Krauss, Nicole;The History of Love;"[""Immigrants"",""Fiction"",""Books and reading"",""Loss (Psychology)"",""Lost literature"",""Authors"",""Amour"",""Ecrivains"",""Romans, nouvelles"",""Litterature"",""Perte (Psychologie)"",""Livres et lecture"",""Fiction, psychological"",""New york (n.y.), fiction"",""Poland, fiction"",""Authors, fiction"",""Fiction, romance, general""]";252;/works/OL5814543W;OL23273654M
Krleža, Miroslav;The Return of Philip Latinowicz;;;;
Krleža, Miroslav;On the Edge of Reason;null;192;/works/OL11396078W;OL15110946M
Kross, Jaan;Professor Martens' Departure;"[""History"",""Fiction"",""Fiction, historical, general"",""Soviet union, fiction""]";295;/works/OL1750235W;OL1445500M
Kundera, Milan;The Joke;"[""Fiction"",""Irony"",""Social conditions"",""Politics and government"",""Continental european fiction (fictional works by one author)"",""Fiction, general""]";267;/works/OL14856639W;OL21068590M
Kundera, Milan;The Book of Laughter and Forgetting;"[""Continental european fiction (fictional works by one author)""]";;/works/OL17418684W;OL26000983M
Kundera, Milan;The Unbearable Lightness of Being;null;350;/works/OL14856579W;OL9149762M
Kundera, Milan;Ignorance;"[""Man-woman relationships"",""Fiction"",""Reunions"",""Separation (Psychology)"",""Czech fiction"",""Memory""]";195;/works/OL14856624W;OL3559105M
Kureishi, Hanif;The Buddha of Suburbia;"[""Literature"",""East Indians"",""Fathers and sons"",""Fiction"",""Boys"",""Romans (teksten)"",""open_syllabus_project"",""Fiction, coming of age"",""Fiction, family life"",""Fathers and sons, fiction"",""London (england), fiction""]";424;/works/OL921378W;OL32683167M
Kureishi, Hanif;Intimacy;"[""Fathers and sons"",""Fiction"",""Interpersonal attraction"",""Man-woman relationships"",""Men"",""Midlife crisis"",""Separation (Psychology)"",""Sexual behavior"",""Social life and customs"",""Middle-aged men"",""Man-woman relationships, fiction"",""England, fiction"",""Fiction, psychological"",""Fiction, general"",""Great britain, fiction""]";118;/works/OL921379W;OL20632119M
Kureishi, Hanif;Gabriel’s Gift;"[""Parent and child"",""Bildungsromans"",""Fiction"",""Boys"",""Domestic fiction"",""Families"",""Teenage boys"",""Fiction, general""]";223;/works/OL921373W;OL3950390M
Kushner, Rachel;The Flamethrowers;"[""Fiction"",""Brigate rosse"",""Women artists"",""Motorcycles"",""Futurism"",""Futurism (Literary movement)"",""Amerikanisches Englisch"",""nyt:trade-fiction-paperback=2014-02-02"",""New York Times bestseller"",""New York Times reviewed"",""Women artists, fiction"",""New york (n.y.), fiction"",""Fiction, coming of age"",""Italy, fiction""]";;/works/OL16726647W;OL27583017M
La Fayette, Madame de;The Princess of Clèves;"[""Fiction"",""History"",""Married women"",""Nobility""]";197;/works/OL1244882W;OL1107752M
Laclos, Pierre Choderlos de ;Dangerous Liaisons;"[""Fiction"",""Aristocracy (Social class)"",""Man-woman relationships"",""Seduction"",""Social life and customs"",""France, fiction"",""Fiction, general"",""Continental european fiction (fictional works by one author)"",""Laclos, choderlos de, 1741-1803"",""French fiction, translations into english"",""Fiction, erotica, general""]";502;/works/OL15725752W;OL18977103M
